*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=circuitoMain2
*Date=18:29:46
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
182;;;72.2385;-59.6472;0;Bottom;Via262
183;100;0402 [SMD];67.1585;-276.197;-90;Top;R41
184;;;277.979;-115.527;0;Bottom;Via59
185;;;196.699;-295.867;0;Bottom;Via198
186;;TO92 [THT];272.708;-217.038;-90;Bottom;Q14
187;;;171.298;-163.787;0;Bottom;Via134
188;;;232.259;-295.867;0;Bottom;Via202
189;;THT;284.329;-224.747;-90;Bottom;J43
190;;;112.878;-229.827;0;Bottom;Via117
191;;;51.9185;-79.9672;0;Bottom;Via236
192;;;133.199;-79.9672;0;Bottom;Via228
193;;;120.499;-295.867;0;Bottom;Via190
194;;;150.978;-239.987;0;Bottom;Via119
195;;;158.598;-151.087;0;Bottom;Via180
196;;;194.158;-179.027;0;Bottom;Via129
197;;;153.519;-79.9672;0;Bottom;Via226
198;;THT;284.329;-184.107;-90;Bottom;J47
199;;THT;284.329;-204.427;-90;Bottom;J45
200;;THT;31.5985;-68.5372;0;Bottom;J3
201;;THT;284.329;-234.907;-90;Bottom;J42
202;;;277.979;-239.987;0;Bottom;Via45
203;;;163.679;-79.9672;0;Bottom;Via225
204;;THT;284.329;-163.787;-90;Bottom;J50
205;;TO92 [THT];211.748;-272.918;0;Bottom;Q37
206;;THT;209.399;-284.437;0;Bottom;J35
207;;;194.159;-79.9672;0;Bottom;Via222
208;;TO92 [THT];74.588;-90.0383;0;Bottom;Q8
209;;TO92 [THT];125.388;-90.0383;0;Bottom;Q6
210;;;123.038;-234.907;0;Bottom;Via104
211;;;168.758;-184.107;0;Bottom;Via161
212;;TO92 [THT];135.548;-270.378;0;Bottom;Q31
213;;TO92 [THT];272.708;-112.898;-90;Bottom;Q26
214;;;123.038;-163.787;0;Bottom;Via136
215;;;130.658;-153.627;0;Bottom;Via132
216;100;0402 [SMD];54.4585;-276.197;-90;Top;R40
217;;;171.299;-85.0472;0;Bottom;Via72
218;;;191.618;-212.047;0;Bottom;Via170
219;;;115.418;-227.287;0;Bottom;Via106
220;;;176.378;-179.027;0;Bottom;Via128
221;;THT;120.499;-284.437;0;Bottom;J28
222;100;0402 [SMD];224.639;-75.5372;-90;Top;R22
223;;;191.618;-229.827;0;Bottom;Via168
224;;;163.678;-227.287;0;Bottom;Via143
